FIPS,AlGore_Dem_2000,pct_dem_2000,GeorgeWBush_Rep_2000,pct_rep_2000,RalphNader_Green_2000,pct_green_2000,Other_2000,pct_other_2000,totalvotes_2000,JohnKerry_Dem_2004,pct_dem_2004,GeorgeWBush_Rep_2004,pct_rep_2004,Other_2004,pct_other_2004,totalvotes_2004,Obama_Dem_2008,pct_dem_2008,McCain_Rep_2008,pct_rep_2008,Other_2008,pct_other_2008,totalvotes_2008,Obama_Dem_2012,pct_dem_2012,Romney_Rep_2012,pct_rep_2012,Other_2012,pct_other_2012,totalvotes_2012,Clinton_Dem_2016,pct_dem_2016,Trump_Rep_2016,pct_rep_2016,Other_2016,pct_other_2016,totalvotes2016,dem_2020,pct_dem_2020,gop_2020,pct_gop_2020,total_votes_2020
48421,144,0.123817713,998,0.858125537,11,0.009458298,10,0.008598452,1163,124,0.116322702,942,0.883677298,0,0,1066,127,0.124509804,884,0.866666667,9,0.008823529,1020,121,0.116570328,908,0.874759152,9,0.00867052,1038,96,0.102673797,807,0.863101604,32,0.034224599,935,91,0.091919191,885,0.89393938,990
20101,252,0.222418358,846,0.746690203,23,0.020300088,12,0.01059135,1133,181,0.178500986,823,0.811637081,10,0.009861933,1014,193,0.187925998,814,0.792599805,20,0.019474197,1027,172,0.185344828,739,0.796336207,17,0.018318966,928,106,0.121699196,718,0.824339839,47,0.053960964,871,114,0.12837838,757,0.85247749,888
27089,1910,0.367378342,2912,0.560107713,160,0.030775149,217,0.041738796,5199,2308,0.414958648,3187,0.572995325,67,0.012046027,5562,2311,0.487655624,2285,0.482169234,143,0.030175142,4739,1998,0.425287356,2569,0.546828438,131,0.027884206,4698,1225,0.25430766,3208,0.665974673,384,0.079717667,4817,1295,0.2538718,3721,0.72946483,5101
2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51115,1499,0.325233239,2951,0.640269039,88,0.019093079,71,0.015404643,4609,1589,0.30980698,3497,0.68180932,43,0.008383701,5129,1934,0.355514706,3456,0.635294118,50,0.009191176,5440,1807,0.336248604,3488,0.649050986,79,0.014700409,5374,1563,0.29429486,3517,0.662210506,231,0.043494634,5311,1824,0.31318682,3900,0.66964287,5824
6077,79776,0.47701792,81773,0.488958915,4195,0.025083862,1495,0.008939302,167239,87012,0.459154112,100978,0.532851376,1515,0.007994512,189505,113974,0.544421039,91607,0.437580308,3768,0.017998653,209349,114121,0.557511835,86071,0.420480027,4505,0.022008139,204697,121124,0.540331718,88936,0.3967417,14106,0.062926581,224166,112786,0.58303308,77038,0.39823827,193447
26019,3546,0.439296333,4172,0.516848365,312,0.038652131,42,0.005203171,8072,4383,0.448251176,5284,0.540396809,111,0.011352015,9778,5451,0.528761277,4687,0.454651276,171,0.016587448,10309,4685,0.473184527,5075,0.512574487,141,0.014240986,9901,4108,0.40164255,5539,0.541552601,581,0.056804849,10228,5480,0.4470185,6600,0.53837997,12259
12017,25525,0.446194455,29767,0.520347516,1379,0.024105863,535,0.009352166,57206,29277,0.421451912,39500,0.568615314,690,0.009932774,69467,31460,0.413088579,43706,0.573885869,992,0.013025552,76158,28460,0.384932711,44662,0.604071144,813,0.010996145,73935,22789,0.285934755,54456,0.683262233,2455,0.030803011,79700,27088,0.29008353,65348,0.69980723,93380
31119,2772,0.215669494,9636,0.749708239,290,0.022562826,155,0.012059441,12853,2934,0.208247569,10981,0.779402371,174,0.01235006,14089,4142,0.29490922,9655,0.68743325,248,0.017657529,14045,3485,0.250990277,10062,0.724666907,338,0.024342816,13885,2711,0.189012062,10628,0.740988636,1004,0.069999303,14343,3393,0.22022457,11678,0.75796717,15407
47159,4884,0.664670659,2384,0.324442025,42,0.005715841,38,0.005171475,7348,4038,0.516302263,3738,0.477943997,45,0.00575374,7821,2992,0.38651337,4563,0.589458726,186,0.024027903,7741,2470,0.348525469,4495,0.634259913,122,0.017214618,7087,1689,0.227138246,5494,0.738838085,253,0.034023669,7436,1798,0.19900388,7124,0.78848922,9035
