iso_code,continent,location,date,TV,PV,FV,TVPH,PVPH,FVPH,population,HDI
AFG,Asia,Afghanistan,3/13/21,,,,,,,38928341,0.511
OWID_AFR,,Africa,3/13/21,,,,,,,1340598113,
ALB,Europe,Albania,3/13/21,,,,,,,2877800,0.795
DZA,Africa,Algeria,3/13/21,,,,,,,43851043,0.748
AND,Europe,Andorra,3/13/21,,,,,,,77265,0.868
AGO,Africa,Angola,3/13/21,,,,,,,32866268,0.581
ATG,North America,Antigua and Barbuda,3/13/21,,,,,,,97928,0.778
ARG,South America,Argentina,3/13/21,2294738,1876113,418625,5.08,4.15,0.93,45195777,0.845
ARM,Asia,Armenia,3/13/21,,,,,,,2963234,0.776
OWID_ASI,,Asia,3/13/21,,,,,,,4639847425,
AUS,Oceania,Australia,3/13/21,159294,159294,,0.62,0.62,,25499881,0.944
AUT,Europe,Austria,3/13/21,,,,,,,9006400,0.922
AZE,Asia,Azerbaijan,3/13/21,450316,450316,,4.44,4.44,,10139175,0.756
BHS,North America,Bahamas,3/13/21,,,,,,,393248,0.814
BHR,Asia,Bahrain,3/13/21,534625,322508,212117,31.42,18.95,12.47,1701583,0.852
BGD,Asia,Bangladesh,3/13/21,,,,,,,164689383,0.632
BRB,North America,Barbados,3/13/21,,,,,,,287371,0.814
BLR,Europe,Belarus,3/13/21,,,,,,,9449321,0.823
BEL,Europe,Belgium,3/13/21,,,,,,,11589616,0.931
BLZ,North America,Belize,3/13/21,,,,,,,397621,0.716
BEN,Africa,Benin,3/13/21,,,,,,,12123198,0.545
BTN,Asia,Bhutan,3/13/21,,,,,,,771612,0.654
BOL,South America,Bolivia,3/13/21,137787,127836,9951,1.18,1.1,0.09,11673029,0.718
BIH,Europe,Bosnia and Herzegovina,3/13/21,,,,,,,3280815,0.78
BWA,Africa,Botswana,3/13/21,,,,,,,2351625,0.735
BRA,South America,Brazil,3/13/21,11362190,8512960,2849230,5.35,4,1.34,212559409,0.765
BRN,Asia,Brunei,3/13/21,,,,,,,437483,0.838
BGR,Europe,Bulgaria,3/13/21,337904,280137,57767,4.86,4.03,0.83,6948445,0.816
BFA,Africa,Burkina Faso,3/13/21,,,,,,,20903278,0.452
BDI,Africa,Burundi,3/13/21,,,,,,,11890781,0.433
KHM,Asia,Cambodia,3/13/21,161818,161818,,0.97,0.97,,16718971,0.594
CMR,Africa,Cameroon,3/13/21,,,,,,,26545864,0.563
CAN,North America,Canada,3/13/21,2934007,2340676,593331,7.77,6.2,1.57,37742157,0.929
CPV,Africa,Cape Verde,3/13/21,,,,,,,555988,0.665
CAF,Africa,Central African Republic,3/13/21,,,,,,,4829764,0.397
TCD,Africa,Chad,3/13/21,,,,,,,16425859,0.398
CHL,South America,Chile,3/13/21,6581943,4804999,1776944,34.43,25.14,9.3,19116209,0.851
CHN,Asia,China,3/13/21,,,,,,,1439323774,0.761
COL,South America,Colombia,3/13/21,,,,,,,50882884,0.767
COM,Africa,Comoros,3/13/21,,,,,,,869595,0.554
COG,Africa,Congo,3/13/21,,,,,,,5518092,0.574
CRI,North America,Costa Rica,3/13/21,,,,,,,5094114,0.81
CIV,Africa,Cote d'Ivoire,3/13/21,,,,,,,26378275,0.538
HRV,Europe,Croatia,3/13/21,,,,,,,4105268,0.851
CUB,North America,Cuba,3/13/21,,,,,,,11326616,0.783
CYP,Europe,Cyprus,3/13/21,,,,,,,875899,0.887
CZE,Europe,Czechia,3/13/21,1068683,770507,298176,9.98,7.19,2.78,10708982,0.9
COD,Africa,Democratic Republic of Congo,3/13/21,,,,,,,89561404,0.48
DNK,Europe,Denmark,3/13/21,824066,580539,243527,14.23,10.02,4.2,5792203,0.94
DJI,Africa,Djibouti,3/13/21,,,,,,,988002,0.524
DMA,North America,Dominica,3/13/21,,,,,,,71991,0.742
DOM,North America,Dominican Republic,3/13/21,,,,,,,10847904,0.756
ECU,South America,Ecuador,3/13/21,125450,119222,6228,0.71,0.68,0.04,17643060,0.759
EGY,Africa,Egypt,3/13/21,,,,,,,102334403,0.707
SLV,North America,El Salvador,3/13/21,,,,,,,6486201,0.673
GNQ,Africa,Equatorial Guinea,3/13/21,,,,,,,1402985,0.592
ERI,Africa,Eritrea,3/13/21,,,,,,,3546427,0.459
EST,Europe,Estonia,3/13/21,180400,127829,52571,13.6,9.64,3.96,1326539,0.892
SWZ,Africa,Eswatini,3/13/21,,,,,,,1160164,0.611
ETH,Africa,Ethiopia,3/13/21,,,,,,,114963583,0.485
OWID_EUR,,Europe,3/13/21,,,,,,,748680069,
OWID_EUN,,European Union,3/13/21,48902337,34127550,14774787,10.99,7.67,3.32,444919060,
FJI,Oceania,Fiji,3/13/21,,,,,,,896444,0.743
FIN,Europe,Finland,3/13/21,674128,587848,86280,12.17,10.61,1.56,5540718,0.938
FRA,Europe,France,3/13/21,,,,,,,65273512,0.901
GAB,Africa,Gabon,3/13/21,,,,,,,2225728,0.703
GMB,Africa,Gambia,3/13/21,,,,,,,2416664,0.496
GEO,Asia,Georgia,3/13/21,,,,,,,3989175,0.812
DEU,Europe,Germany,3/13/21,,,,,,,83783945,0.947
GHA,Africa,Ghana,3/13/21,,,,,,,31072945,0.611
GIB,Europe,Gibraltar,3/13/21,46136,29610,16526,136.94,87.89,49.05,33691,
GRC,Europe,Greece,3/13/21,1283472,877402,406070,12.31,8.42,3.9,10423056,0.888
GRD,North America,Grenada,3/13/21,,,,,,,112519,0.779
GTM,North America,Guatemala,3/13/21,,,,,,,17915567,0.663
GIN,Africa,Guinea,3/13/21,,,,,,,13132792,0.477
GNB,Africa,Guinea-Bissau,3/13/21,,,,,,,1967998,0.48
GUY,South America,Guyana,3/13/21,,,,,,,786559,0.682
HTI,North America,Haiti,3/13/21,,,,,,,11402533,0.51
HND,North America,Honduras,3/13/21,,,,,,,9904608,0.634
HKG,Asia,Hong Kong,3/13/21,177000,177000,,2.36,2.36,,7496988,0.949
HUN,Europe,Hungary,3/13/21,1711969,1319266,392703,17.72,13.66,4.07,9660350,0.854
ISL,Europe,Iceland,3/13/21,,,,,,,341250,0.949
IND,Asia,India,3/13/21,29738409,24307635,5430774,2.15,1.76,0.39,1380004385,0.645
IDN,Asia,Indonesia,3/13/21,5440432,3985596,1454836,1.99,1.46,0.53,273523621,0.718
OWID_INT,,International,3/13/21,,,,,,,,
IRN,Asia,Iran,3/13/21,,,,,,,83992953,0.783
IRQ,Asia,Iraq,3/13/21,,,,,,,40222503,0.674
IRL,Europe,Ireland,3/13/21,,,,,,,4937796,0.955
IMN,Europe,Isle of Man,3/13/21,31026,19926,11100,36.49,23.43,13.05,85032,
ISR,Asia,Israel,3/13/21,9257019,5128212,4128807,106.95,59.25,47.7,8655541,0.919
ITA,Europe,Italy,3/13/21,6610347,4641551,1968796,10.93,7.68,3.26,60461828,0.892
JAM,North America,Jamaica,3/13/21,,,,,,,2961161,0.734
JPN,Asia,Japan,3/13/21,,,,,,,126476458,0.919
JOR,Asia,Jordan,3/13/21,,,,,,,10203140,0.729
KAZ,Asia,Kazakhstan,3/13/21,,,,,,,18776707,0.825
KEN,Africa,Kenya,3/13/21,,,,,,,53771300,0.601
OWID_KOS,Europe,Kosovo,3/13/21,,,,,,,1932774,
KWT,Asia,Kuwait,3/13/21,,,,,,,4270563,0.806
KGZ,Asia,Kyrgyzstan,3/13/21,,,,,,,6524191,0.697
LAO,Asia,Laos,3/13/21,,,,,,,7275556,0.613
LVA,Europe,Latvia,3/13/21,97070,78956,18114,5.15,4.19,0.96,1886202,0.866
LBN,Asia,Lebanon,3/13/21,,,,,,,6825442,0.744
LSO,Africa,Lesotho,3/13/21,,,,,,,2142252,0.527
LBR,Africa,Liberia,3/13/21,,,,,,,5057677,0.48
LBY,Africa,Libya,3/13/21,,,,,,,6871287,0.724
LIE,Europe,Liechtenstein,3/13/21,,,,,,,38137,0.919
LTU,Europe,Lithuania,3/13/21,352487,253563,98924,12.95,9.31,3.63,2722291,0.882
LUX,Europe,Luxembourg,3/13/21,,,,,,,625976,0.916
MAC,Asia,Macao,3/13/21,27637,27637,,4.26,4.26,,649342,
MDG,Africa,Madagascar,3/13/21,,,,,,,27691019,0.528
MWI,Africa,Malawi,3/13/21,,,,,,,19129955,0.483
MYS,Asia,Malaysia,3/13/21,,,,,,,32365998,0.81
MDV,Asia,Maldives,3/13/21,198206,,,36.67,,,540542,0.74
MLI,Africa,Mali,3/13/21,,,,,,,20250834,0.434
MLT,Europe,Malta,3/13/21,,,,,,,441539,0.895
MHL,Oceania,Marshall Islands,3/13/21,,,,,,,59194,0.704
MRT,Africa,Mauritania,3/13/21,,,,,,,4649660,0.546
MUS,Africa,Mauritius,3/13/21,,,,,,,1271767,0.804
MEX,North America,Mexico,3/13/21,4214294,3604420,609874,3.27,2.8,0.47,128932753,0.779
FSM,Oceania,Micronesia (country),3/13/21,,,,,,,115021,0.62
MDA,Europe,Moldova,3/13/21,11431,11431,,0.28,0.28,,4033963,0.75
MCO,Europe,Monaco,3/13/21,,,,,,,39244,
MNG,Asia,Mongolia,3/13/21,84017,,,2.56,,,3278292,0.737
MNE,Europe,Montenegro,3/13/21,,,,,,,628062,0.829
MAR,Africa,Morocco,3/13/21,5682508,4210770,1471738,15.4,11.41,3.99,36910558,0.686
MOZ,Africa,Mozambique,3/13/21,,,,,,,31255435,0.456
MMR,Asia,Myanmar,3/13/21,,,,,,,54409794,0.583
NAM,Africa,Namibia,3/13/21,,,,,,,2540916,0.646
NPL,Asia,Nepal,3/13/21,,,,,,,29136808,0.602
NLD,Europe,Netherlands,3/13/21,,,,,,,17134873,0.944
NZL,Oceania,New Zealand,3/13/21,,,,,,,4822233,0.931
NIC,North America,Nicaragua,3/13/21,,,,,,,6624554,0.66
NER,Africa,Niger,3/13/21,,,,,,,24206636,0.394
NGA,Africa,Nigeria,3/13/21,,,,,,,206139587,0.539
OWID_NAM,,North America,3/13/21,,,,,,,592072204,
MKD,Europe,North Macedonia,3/13/21,,,,,,,2083380,0.774
NOR,Europe,Norway,3/13/21,,,,,,,5421242,0.957
OWID_OCE,,Oceania,3/13/21,,,,,,,42677809,
OMN,Asia,Oman,3/13/21,,,,,,,5106622,0.813
PAK,Asia,Pakistan,3/13/21,,,,,,,220892331,0.557
PSE,Asia,Palestine,3/13/21,,,,,,,5101416,0.708
PAN,North America,Panama,3/13/21,,,,,,,4314768,0.815
PNG,Oceania,Papua New Guinea,3/13/21,,,,,,,8947027,0.555
PRY,South America,Paraguay,3/13/21,7579,7579,,0.11,0.11,,7132530,0.728
PER,South America,Peru,3/13/21,,,,,,,32971846,0.777
PHL,Asia,Philippines,3/13/21,,,,,,,109581085,0.718
POL,Europe,Poland,3/13/21,,,,,,,37846605,0.88
PRT,Europe,Portugal,3/13/21,1147575,813380,334195,11.25,7.98,3.28,10196707,0.864
QAT,Asia,Qatar,3/13/21,,,,,,,2881060,0.848
ROU,Europe,Romania,3/13/21,,,,,,,19237682,0.828
RUS,Europe,Russia,3/13/21,7639374,5524226,2115148,5.23,3.79,1.45,145934460,0.824
RWA,Africa,Rwanda,3/13/21,,,,,,,12952209,0.543
KNA,North America,Saint Kitts and Nevis,3/13/21,,,,,,,53192,0.779
LCA,North America,Saint Lucia,3/13/21,,,,,,,183629,0.759
VCT,North America,Saint Vincent and the Grenadines,3/13/21,,,,,,,110947,0.738
WSM,Oceania,Samoa,3/13/21,,,,,,,198410,0.715
SMR,Europe,San Marino,3/13/21,,,,,,,33938,
STP,Africa,Sao Tome and Principe,3/13/21,,,,,,,219161,0.625
SAU,Asia,Saudi Arabia,3/13/21,,,,,,,34813867,0.854
SEN,Africa,Senegal,3/13/21,,,,,,,16743930,0.512
SRB,Europe,Serbia,3/13/21,1957065,1218309,738756,28.76,17.9,10.86,6804596,0.806
SYC,Africa,Seychelles,3/13/21,,,,,,,98340,0.796
SLE,Africa,Sierra Leone,3/13/21,,,,,,,7976985,0.452
SGP,Asia,Singapore,3/13/21,,,,,,,5850343,0.938
SVK,Europe,Slovakia,3/13/21,,,,,,,5459643,0.86
SVN,Europe,Slovenia,3/13/21,,,,,,,2078932,0.917
SLB,Oceania,Solomon Islands,3/13/21,,,,,,,686878,0.567
SOM,Africa,Somalia,3/13/21,,,,,,,15893219,
ZAF,Africa,South Africa,3/13/21,145544,145544,145544,0.25,0.25,0.25,59308690,0.709
OWID_SAM,,South America,3/13/21,,,,,,,430759772,
KOR,Asia,South Korea,3/13/21,587884,587884,,1.15,1.15,,51269183,0.916
SSD,Africa,South Sudan,3/13/21,,,,,,,11193729,0.433
ESP,Europe,Spain,3/13/21,,,,,,,46754783,0.904
LKA,Asia,Sri Lanka,3/13/21,770408,,,3.6,,,21413250,0.782
SDN,Africa,Sudan,3/13/21,,,,,,,43849269,0.51
SUR,South America,Suriname,3/13/21,,,,,,,586634,0.738
SWE,Europe,Sweden,3/13/21,,,,,,,10099270,0.945
CHE,Europe,Switzerland,3/13/21,,,,,,,8654618,0.955
SYR,Asia,Syria,3/13/21,,,,,,,17500657,0.567
TWN,Asia,Taiwan,3/13/21,,,,,,,23816775,
TJK,Asia,Tajikistan,3/13/21,,,,,,,9537642,0.668
TZA,Africa,Tanzania,3/13/21,,,,,,,59734213,0.529
THA,Asia,Thailand,3/13/21,,,,,,,69799978,0.777
TLS,Asia,Timor,3/13/21,,,,,,,1318442,0.606
TGO,Africa,Togo,3/13/21,,,,,,,8278737,0.515
TTO,North America,Trinidad and Tobago,3/13/21,,,,,,,1399491,0.796
TUN,Africa,Tunisia,3/13/21,,,,,,,11818618,0.74
TUR,Asia,Turkey,3/13/21,10923284,7887544,3035740,12.95,9.35,3.6,84339067,0.82
UGA,Africa,Uganda,3/13/21,,,,,,,45741000,0.544
UKR,Europe,Ukraine,3/13/21,51137,51137,,0.12,0.12,,43733759,0.779
ARE,Asia,United Arab Emirates,3/13/21,6516723,,,65.89,,,9890400,0.89
GBR,Europe,United Kingdom,3/13/21,,,,,,,67886004,0.932
USA,North America,United States,3/13/21,105703501,68884011,36929777,31.61,20.6,11.04,331002647,0.926
URY,South America,Uruguay,3/13/21,207215,207215,,5.97,5.97,,3473727,0.817
UZB,Asia,Uzbekistan,3/13/21,,,,,,,33469199,0.72
VUT,Oceania,Vanuatu,3/13/21,,,,,,,307150,0.609
VAT,Europe,Vatican,3/13/21,,,,,,,809,
VEN,South America,Venezuela,3/13/21,,,,,,,28435943,0.711
VNM,Asia,Vietnam,3/13/21,,,,,,,97338583,0.704
OWID_WRL,,World,3/13/21,355157298,216247003,81648743,4.56,2.77,1.05,7794798729,0.737
YEM,Asia,Yemen,3/13/21,,,,,,,29825968,0.47
ZMB,Africa,Zambia,3/13/21,,,,,,,18383956,0.584
ZWE,Africa,Zimbabwe,3/13/21,36359,36359,,0.24,0.24,,14862927,0.571
AFG,Asia,Afghanistan,3/12/21,,,,,,,38928341,0.511
OWID_AFR,,Africa,3/12/21,,,,,,,1340598113,
ALB,Europe,Albania,3/12/21,,,,,,,2877800,0.795
DZA,Africa,Algeria,3/12/21,,,,,,,43851043,0.748
AND,Europe,Andorra,3/12/21,,,,,,,77265,0.868
AGO,Africa,Angola,3/12/21,,,,,,,32866268,0.581
ATG,North America,Antigua and Barbuda,3/12/21,,,,,,,97928,0.778
ARG,South America,Argentina,3/12/21,2098205,1719543,378662,4.64,3.8,0.84,45195777,0.845
ARM,Asia,Armenia,3/12/21,,,,,,,2963234,0.776
OWID_ASI,,Asia,3/12/21,,,,,,,4639847425,
AUS,Oceania,Australia,3/12/21,135103,135103,,0.53,0.53,,25499881,0.944
AUT,Europe,Austria,3/12/21,981056,713955,267101,10.89,7.93,2.97,9006400,0.922
AZE,Asia,Azerbaijan,3/12/21,443888,443888,,4.38,4.38,,10139175,0.756
BHS,North America,Bahamas,3/12/21,,,,,,,393248,0.814
BHR,Asia,Bahrain,3/12/21,522344,312119,210225,30.7,18.34,12.35,1701583,0.852
BGD,Asia,Bangladesh,3/12/21,,,,,,,164689383,0.632
BRB,North America,Barbados,3/12/21,,,,,,,287371,0.814
BLR,Europe,Belarus,3/12/21,,,,,,,9449321,0.823
BEL,Europe,Belgium,3/12/21,1134092,755160,378932,9.79,6.52,3.27,11589616,0.931
BLZ,North America,Belize,3/12/21,7444,7444,,1.87,1.87,,397621,0.716
BEN,Africa,Benin,3/12/21,,,,,,,12123198,0.545
BTN,Asia,Bhutan,3/12/21,,,,,,,771612,0.654
BOL,South America,Bolivia,3/12/21,137150,127199,9951,1.17,1.09,0.09,11673029,0.718
BIH,Europe,Bosnia and Herzegovina,3/12/21,,,,,,,3280815,0.78
BWA,Africa,Botswana,3/12/21,,,,,,,2351625,0.735
BRA,South America,Brazil,3/12/21,11149530,8360366,2789164,5.25,3.93,1.31,212559409,0.765
BRN,Asia,Brunei,3/12/21,,,,,,,437483,0.838
BGR,Europe,Bulgaria,3/12/21,336660,279324,57336,4.85,4.02,0.83,6948445,0.816
BFA,Africa,Burkina Faso,3/12/21,,,,,,,20903278,0.452
BDI,Africa,Burundi,3/12/21,,,,,,,11890781,0.433
KHM,Asia,Cambodia,3/12/21,147591,147591,,0.88,0.88,,16718971,0.594
CMR,Africa,Cameroon,3/12/21,,,,,,,26545864,0.563
CAN,North America,Canada,3/12/21,2830164,2239490,590674,7.5,5.93,1.57,37742157,0.929
CPV,Africa,Cape Verde,3/12/21,,,,,,,555988,0.665
CAF,Africa,Central African Republic,3/12/21,,,,,,,4829764,0.397
TCD,Africa,Chad,3/12/21,,,,,,,16425859,0.398
CHL,South America,Chile,3/12/21,6535135,4782615,1752520,34.19,25.02,9.17,19116209,0.851
CHN,Asia,China,3/12/21,,,,,,,1439323774,0.761
COL,South America,Colombia,3/12/21,693490,670041,23449,1.36,1.32,0.05,50882884,0.767
COM,Africa,Comoros,3/12/21,,,,,,,869595,0.554
COG,Africa,Congo,3/12/21,,,,,,,5518092,0.574
CRI,North America,Costa Rica,3/12/21,241724,187826,53898,4.75,3.69,1.06,5094114,0.81
CIV,Africa,Cote d'Ivoire,3/12/21,,,,,,,26378275,0.538
HRV,Europe,Croatia,3/12/21,,,,,,,4105268,0.851
CUB,North America,Cuba,3/12/21,,,,,,,11326616,0.783
CYP,Europe,Cyprus,3/12/21,,,,,,,875899,0.887
CZE,Europe,Czechia,3/12/21,1052274,755347,296927,9.83,7.05,2.77,10708982,0.9
COD,Africa,Democratic Republic of Congo,3/12/21,,,,,,,89561404,0.48
DNK,Europe,Denmark,3/12/21,823500,580283,243217,14.22,10.02,4.2,5792203,0.94
DJI,Africa,Djibouti,3/12/21,,,,,,,988002,0.524
DMA,North America,Dominica,3/12/21,,,,,,,71991,0.742
DOM,North America,Dominican Republic,3/12/21,,,,,,,10847904,0.756
ECU,South America,Ecuador,3/12/21,123176,116948,6228,0.7,0.66,0.04,17643060,0.759
EGY,Africa,Egypt,3/12/21,,,,,,,102334403,0.707
SLV,North America,El Salvador,3/12/21,,,,,,,6486201,0.673
GNQ,Africa,Equatorial Guinea,3/12/21,,,,,,,1402985,0.592
ERI,Africa,Eritrea,3/12/21,,,,,,,3546427,0.459
EST,Europe,Estonia,3/12/21,,,,,,,1326539,0.892
SWZ,Africa,Eswatini,3/12/21,,,,,,,1160164,0.611
ETH,Africa,Ethiopia,3/12/21,,,,,,,114963583,0.485
OWID_EUR,,Europe,3/12/21,,,,,,,748680069,
OWID_EUN,,European Union,3/12/21,48579164,33892868,14686296,10.92,7.62,3.3,444919060,
FRO,Europe,Faeroe Islands,3/12/21,8832,4901,3931,18.07,10.03,8.04,48865,
FJI,Oceania,Fiji,3/12/21,,,,,,,896444,0.743
FIN,Europe,Finland,3/12/21,651289,565463,85826,11.75,10.21,1.55,5540718,0.938
FRA,Europe,France,3/12/21,7058746,4853278,2205468,10.41,7.15,3.25,65273512,0.901
GAB,Africa,Gabon,3/12/21,,,,,,,2225728,0.703
GMB,Africa,Gambia,3/12/21,,,,,,,2416664,0.496
GEO,Asia,Georgia,3/12/21,,,,,,,3989175,0.812
DEU,Europe,Germany,3/12/21,8863270,6113484,2749786,10.58,7.3,3.28,83783945,0.947
GHA,Africa,Ghana,3/12/21,,,,,,,31072945,0.611
GIB,Europe,Gibraltar,3/12/21,45488,28971,16517,135.02,85.99,49.02,33691,
GRC,Europe,Greece,3/12/21,1254087,855151,398936,12.03,8.2,3.83,10423056,0.888
GRD,North America,Grenada,3/12/21,,,,,,,112519,0.779
GTM,North America,Guatemala,3/12/21,28534,28534,,0.16,0.16,,17915567,0.663
GIN,Africa,Guinea,3/12/21,,,,,,,13132792,0.477
GNB,Africa,Guinea-Bissau,3/12/21,,,,,,,1967998,0.48
GUY,South America,Guyana,3/12/21,,,,,,,786559,0.682
HTI,North America,Haiti,3/12/21,,,,,,,11402533,0.51
HND,North America,Honduras,3/12/21,,,,,,,9904608,0.634
HKG,Asia,Hong Kong,3/12/21,162100,162100,,2.16,2.16,,7496988,0.949
HUN,Europe,Hungary,3/12/21,1670757,1293414,377343,17.29,13.39,3.91,9660350,0.854
ISL,Europe,Iceland,3/12/21,46862,34018,12844,13.73,9.97,3.76,341250,0.949
IND,Asia,India,3/12/21,28218457,23075504,5142953,2.04,1.67,0.37,1380004385,0.645
IDN,Asia,Indonesia,3/12/21,5108536,3769174,1339362,1.87,1.38,0.49,273523621,0.718
OWID_INT,,International,3/12/21,,,,,,,,
IRN,Asia,Iran,3/12/21,,,,,,,83992953,0.783
IRQ,Asia,Iraq,3/12/21,,,,,,,40222503,0.674
IRL,Europe,Ireland,3/12/21,,,,,,,4937796,0.955
IMN,Europe,Isle of Man,3/12/21,29794,19885,9909,35.04,23.39,11.65,85032,
ISR,Asia,Israel,3/12/21,9231612,5121947,4109665,106.66,59.18,47.48,8655541,0.919
ITA,Europe,Italy,3/12/21,6453779,4529577,1924202,10.67,7.49,3.18,60461828,0.892
JAM,North America,Jamaica,3/12/21,,,,,,,2961161,0.734
JPN,Asia,Japan,3/12/21,230542,227194,3348,0.18,0.18,0,126476458,0.919
JOR,Asia,Jordan,3/12/21,,,,,,,10203140,0.729
KAZ,Asia,Kazakhstan,3/12/21,,,,,,,18776707,0.825
KEN,Africa,Kenya,3/12/21,,,,,,,53771300,0.601
OWID_KOS,Europe,Kosovo,3/12/21,,,,,,,1932774,
KWT,Asia,Kuwait,3/12/21,,,,,,,4270563,0.806
KGZ,Asia,Kyrgyzstan,3/12/21,,,,,,,6524191,0.697
LAO,Asia,Laos,3/12/21,,,,,,,7275556,0.613
LVA,Europe,Latvia,3/12/21,96247,78134,18113,5.1,4.14,0.96,1886202,0.866
LBN,Asia,Lebanon,3/12/21,95888,78177,17711,1.4,1.15,0.26,6825442,0.744
LSO,Africa,Lesotho,3/12/21,,,,,,,2142252,0.527
LBR,Africa,Liberia,3/12/21,,,,,,,5057677,0.48
LBY,Africa,Libya,3/12/21,,,,,,,6871287,0.724
LIE,Europe,Liechtenstein,3/12/21,,,,,,,38137,0.919
LTU,Europe,Lithuania,3/12/21,350757,252543,98214,12.88,9.28,3.61,2722291,0.882
LUX,Europe,Luxembourg,3/12/21,,,,,,,625976,0.916
MAC,Asia,Macao,3/12/21,26440,26440,,4.07,4.07,,649342,
MDG,Africa,Madagascar,3/12/21,,,,,,,27691019,0.528
MWI,Africa,Malawi,3/12/21,,,,,,,19129955,0.483
MYS,Asia,Malaysia,3/12/21,275851,275851,,0.85,0.85,,32365998,0.81
MDV,Asia,Maldives,3/12/21,188436,,,34.86,,,540542,0.74
MLI,Africa,Mali,3/12/21,,,,,,,20250834,0.434
MLT,Europe,Malta,3/12/21,117121,78788,38333,26.53,17.84,8.68,441539,0.895
MHL,Oceania,Marshall Islands,3/12/21,,,,,,,59194,0.704
MRT,Africa,Mauritania,3/12/21,,,,,,,4649660,0.546
MUS,Africa,Mauritius,3/12/21,,,,,,,1271767,0.804
MEX,North America,Mexico,3/12/21,4005131,3395671,609460,3.11,2.63,0.47,128932753,0.779
FSM,Oceania,Micronesia (country),3/12/21,,,,,,,115021,0.62
MDA,Europe,Moldova,3/12/21,9341,9341,,0.23,0.23,,4033963,0.75
MCO,Europe,Monaco,3/12/21,,,,,,,39244,
MNG,Asia,Mongolia,3/12/21,67489,,,2.06,,,3278292,0.737
MNE,Europe,Montenegro,3/12/21,3374,3374,,0.54,0.54,,628062,0.829
MAR,Africa,Morocco,3/12/21,5394092,4169133,1224959,14.61,11.3,3.32,36910558,0.686
MOZ,Africa,Mozambique,3/12/21,,,,,,,31255435,0.456
MMR,Asia,Myanmar,3/12/21,,,,,,,54409794,0.583
NAM,Africa,Namibia,3/12/21,,,,,,,2540916,0.646
NPL,Asia,Nepal,3/12/21,,,,,,,29136808,0.602
NLD,Europe,Netherlands,3/12/21,,,,,,,17134873,0.944
NZL,Oceania,New Zealand,3/12/21,,,,,,,4822233,0.931
NIC,North America,Nicaragua,3/12/21,,,,,,,6624554,0.66
NER,Africa,Niger,3/12/21,,,,,,,24206636,0.394
NGA,Africa,Nigeria,3/12/21,,,,,,,206139587,0.539
OWID_NAM,,North America,3/12/21,,,,,,,592072204,
MKD,Europe,North Macedonia,3/12/21,,,,,,,2083380,0.774
NOR,Europe,Norway,3/12/21,,,,,,,5421242,0.957
OWID_OCE,,Oceania,3/12/21,,,,,,,42677809,
OMN,Asia,Oman,3/12/21,,,,,,,5106622,0.813
PAK,Asia,Pakistan,3/12/21,,,,,,,220892331,0.557
PSE,Asia,Palestine,3/12/21,,,,,,,5101416,0.708
PAN,North America,Panama,3/12/21,245177,,,5.68,,,4314768,0.815
PNG,Oceania,Papua New Guinea,3/12/21,,,,,,,8947027,0.555
PRY,South America,Paraguay,3/12/21,7156,7156,,0.1,0.1,,7132530,0.728
PER,South America,Peru,3/12/21,469239,367459,101780,1.42,1.11,0.31,32971846,0.777
PHL,Asia,Philippines,3/12/21,,,,,,,109581085,0.718
POL,Europe,Poland,3/12/21,4487273,2891753,1595520,11.86,7.64,4.22,37846605,0.88
PRT,Europe,Portugal,3/12/21,1113885,793162,320723,10.92,7.78,3.15,10196707,0.864
QAT,Asia,Qatar,3/12/21,,,,,,,2881060,0.848
ROU,Europe,Romania,3/12/21,2069143,1374595,694548,10.76,7.15,3.61,19237682,0.828
RUS,Europe,Russia,3/12/21,7448262,5451045,1997217,5.1,3.74,1.37,145934460,0.824
RWA,Africa,Rwanda,3/12/21,,,,,,,12952209,0.543
KNA,North America,Saint Kitts and Nevis,3/12/21,,,,,,,53192,0.779
LCA,North America,Saint Lucia,3/12/21,,,,,,,183629,0.759
VCT,North America,Saint Vincent and the Grenadines,3/12/21,,,,,,,110947,0.738
WSM,Oceania,Samoa,3/12/21,,,,,,,198410,0.715
SMR,Europe,San Marino,3/12/21,4806,4806,,14.16,14.16,,33938,
STP,Africa,Sao Tome and Principe,3/12/21,,,,,,,219161,0.625
SAU,Asia,Saudi Arabia,3/12/21,2007232,,,5.77,,,34813867,0.854
SEN,Africa,Senegal,3/12/21,,,,,,,16743930,0.512
SRB,Europe,Serbia,3/12/21,1897335,1196235,701100,27.88,17.58,10.3,6804596,0.806
SYC,Africa,Seychelles,3/12/21,,,,,,,98340,0.796
SLE,Africa,Sierra Leone,3/12/21,,,,,,,7976985,0.452
SGP,Asia,Singapore,3/12/21,,,,,,,5850343,0.938
SVK,Europe,Slovakia,3/12/21,597182,388842,208340,10.94,7.12,3.82,5459643,0.86
SVN,Europe,Slovenia,3/12/21,250078,168485,81593,12.03,8.1,3.92,2078932,0.917
SLB,Oceania,Solomon Islands,3/12/21,,,,,,,686878,0.567
SOM,Africa,Somalia,3/12/21,,,,,,,15893219,
ZAF,Africa,South Africa,3/12/21,145215,145215,145215,0.24,0.24,0.24,59308690,0.709
OWID_SAM,,South America,3/12/21,,,,,,,430759772,
KOR,Asia,South Korea,3/12/21,583658,583658,,1.14,1.14,,51269183,0.916
