date,region,mean,median,lower_90,upper_90,lower_50,upper_50,new_cases
2020-05-12,TX,1.0197565083168585,1.0186547572009883,0.9423575265464994,1.0906176220384298,0.9851173610145976,1.0442028261657956,1179.0
2020-05-13,TX,1.016939275069095,1.0159188489249114,0.9349355316782628,1.085058798912356,0.9869848438424148,1.0460061420238012,1355.0
2020-05-14,TX,1.0145218317760984,1.014810544606476,0.9416728858978336,1.091050403111541,0.9946763601012694,1.0543284942071065,1448.0
2020-05-15,TX,1.0111063388193122,1.0132136359219746,0.9347852410388252,1.0777548980375604,0.9887623170779704,1.0461551058488916,1347.0
2020-05-16,TX,1.0074599009299283,1.0095791373644003,0.925588645423744,1.0737688842423492,0.9806495121074388,1.0360054224302058,1801.0
2020-05-17,TX,1.0061651595922714,1.007695378439514,0.9151229069023687,1.0721917922625708,0.9908968731818188,1.0488140376940682,785.0
2020-05-18,TX,1.0023686949292745,1.0003859594168327,0.9188895118033183,1.0915523846205395,0.9705308744310978,1.0325362122154813,909.0
2020-05-19,TX,1.0011312343394545,1.0037741666234363,0.907936550208674,1.0804965648913394,0.9625274741851928,1.0268646280332128,1219.0
2020-05-20,TX,0.9966994355615116,0.9989002975550468,0.9018771252738834,1.0782067115835758,0.9737209729536688,1.0459747583286652,1411.0
2020-05-21,TX,0.9953236496494478,0.9993524451540708,0.8977755508120133,1.09643519741876,0.9676610988166346,1.0439902099455818,945.0
2020-05-22,TX,0.9928251517437862,0.9956606476527716,0.8969877999781338,1.1092144029005309,0.9650508608652292,1.048120299355189,1181.0
2020-05-23,TX,0.993386472204796,0.9957715790353312,0.8929321900194875,1.1047768000212042,0.9554109395872844,1.0387408470170785,1060.0
2020-05-24,TX,0.9948397854258032,1.0003030162854207,0.8910748816445094,1.1220109734817938,0.9599538758173288,1.0490277624337243,839.0
2020-05-25,TX,0.99504225578641,0.99823454351415,0.8799096330282121,1.1158742443522771,0.960755506510881,1.0500434867244348,623.0
2020-05-26,TX,0.9971553417534348,0.9984876388456247,0.8763832964701688,1.1239073180651775,0.9479926906441118,1.0445555289330566,589.0
2020-05-27,TX,0.9963985246962712,1.0033537464642035,0.8532064986702901,1.1092668202831415,0.9610555600821216,1.0675786457387697,1361.0
2020-05-28,TX,0.9959047568652558,1.0017148834340217,0.8457676069954202,1.123576435383698,0.9488207020761078,1.0576712627167282,1855.0
2020-05-29,TX,0.99629722243095,1.000044860101693,0.8482685833134659,1.1422330462729973,0.9384470174064541,1.0515390580216424,1230.0
2020-04-11,UT,1.0233871920616648,1.0325093423395098,0.834846497810266,1.1761366109155345,0.9874268773237248,1.1119928008160005,104.0
2020-04-12,UT,1.022696229448003,1.031294175415571,0.8722946135153263,1.187844245106708,0.9881611307204542,1.1158278494072282,97.0
2020-04-13,UT,1.0219844270847886,1.034349198537018,0.8727265394151287,1.1857898487907943,0.9823362817578821,1.105740993016752,60.0
2020-04-14,UT,1.0217173131765405,1.0331819101184856,0.874521514687611,1.17345353591434,0.9845770109535656,1.1027721720942028,49.0
2020-04-15,UT,1.024193907442286,1.0362113293591415,0.8594255435003415,1.1628834091792115,0.9849687230586812,1.1019540098339942,130.0
2020-04-16,UT,1.0265624157778883,1.0360775554685921,0.8740445158894333,1.1768141481799952,0.9859990691076328,1.103937964314929,141.0
2020-04-17,UT,1.0292060853466298,1.0345884463673507,0.8847440503762349,1.1763694165026688,0.9938877442859204,1.1081035599741436,122.0
2020-04-18,UT,1.032363914183923,1.0375771556585751,0.880438486972128,1.1696431550566921,0.9929712232797816,1.103678015044436,126.0
2020-04-19,UT,1.0343565659518272,1.0384522569145824,0.8985875518176288,1.1757128662621392,0.9976383576713967,1.1144389497872915,138.0
2020-04-20,UT,1.0356250459007772,1.0438130639235272,0.8779672680928284,1.171340316501595,0.9906712429053964,1.1073968913009022,144.0
2020-04-21,UT,1.0362901965235691,1.0447596022149797,0.8895566461285874,1.1622012223835632,1.0108234159029983,1.1234333658281583,83.0
2020-04-22,UT,1.0401291827220722,1.0473081415494965,0.9166914623739374,1.1815076814327319,1.0145621381451777,1.1239805272395418,149.0
2020-04-23,UT,1.0409830855721407,1.0483936637297466,0.9184667119555264,1.1817559243342648,1.0061994909654721,1.1165953506990174,167.0
2020-04-24,UT,1.0401675583419634,1.0441706480837345,0.8980576830553842,1.164076617176781,0.9883070464619906,1.1040965746338196,170.0
2020-04-25,UT,1.043113227161708,1.0494265951698796,0.9052309265602816,1.1692703507733315,0.9970434224961202,1.106898171947612,166.0
2020-04-26,UT,1.0445168105625615,1.0481375748874455,0.894285128600344,1.175276871887418,0.9944132640835168,1.0985547083890437,175.0
2020-04-27,UT,1.0474941959959112,1.0520401255991652,0.8926561469404571,1.1570022342884383,0.9925270560034064,1.0974031949638492,110.0
2020-04-28,UT,1.048376596874383,1.053538707994548,0.8962021111616145,1.169378486476994,1.0182130508155758,1.1231539370796797,110.0
2020-04-29,UT,1.0495339645591668,1.0570776589169546,0.9108311409611328,1.1841980564928307,1.00519640552379,1.1096755196685153,152.0
2020-04-30,UT,1.0515564632398788,1.05891083275763,0.9054955513707034,1.1775342019148378,1.0022772516539646,1.1023117334344126,177.0
2020-05-01,UT,1.0510683161795928,1.0564155229369123,0.9154723440656414,1.1814215434110933,1.0219444325593223,1.1226758098949186,156.0
2020-05-02,UT,1.0521863264403195,1.0608553528630411,0.9302376220834278,1.1821593387706821,1.0076664957835422,1.100113772764306,153.0
2020-05-03,UT,1.0535035390026108,1.060106953181978,0.9038563807963732,1.1717487106973077,0.9951874816371244,1.0969446653348174,194.0
2020-05-04,UT,1.0547569375674457,1.060393571428788,0.9049730645376928,1.164385732071015,1.0032332320845143,1.0993101051088392,142.0
2020-05-05,UT,1.056968672577198,1.0602124649293698,0.9094643619272856,1.1745585366510818,1.0074825721530225,1.1075454918872414,132.0
2020-05-06,UT,1.0576526647954536,1.0592921275224954,0.9103099128685731,1.1824170351625345,0.9996499895119352,1.097363024253218,146.0
2020-05-07,UT,1.0595428120349832,1.0594426215055066,0.9299262973210832,1.1920842540821412,1.0092765741286551,1.100041520916902,129.0
2020-05-08,UT,1.0625534104578909,1.0606776868599666,0.9314917070439194,1.1866241723299384,1.0025125539528996,1.095729557890902,195.0
2020-05-09,UT,1.0656666091990985,1.0640934692568176,0.9369060149832198,1.1886807381824351,1.0037701326766488,1.0991967802211189,184.0
2020-05-10,UT,1.0668441143554237,1.0634603742481417,0.9382151883423252,1.192929893523596,1.0142265714333156,1.1069202830866574,148.0
2020-05-11,UT,1.069475117169676,1.0673797469901192,0.9565812862417538,1.2046642116726385,1.0092716280818652,1.106185575949728,111.0
2020-05-12,UT,1.0713869399913674,1.0681122810671602,0.9556133558654428,1.2092242976376335,1.0088881465875272,1.1030329474291811,70.0
2020-05-13,UT,1.0730063161005603,1.0725129896577,0.9471253632928984,1.2116438386166108,1.0352520860899672,1.129535884456946,188.0
2020-05-14,UT,1.0740842101760222,1.0712905328858642,0.9501353733547762,1.2147569322333929,1.0178731848253342,1.1122330500553703,129.0
2020-05-15,UT,1.0744465538232415,1.0717114863919142,0.9445133027502808,1.2059833672350582,1.012226242612987,1.1085795616523155,164.0
2020-05-16,UT,1.0742445336402466,1.070274577353146,0.9131700961347612,1.1943779595238486,1.0157703685532826,1.1030123338655542,155.0
2020-05-17,UT,1.0748256837728905,1.07150852342318,0.9256776358984414,1.218743312744029,1.0174235294862173,1.1107050191744696,170.0
2020-05-18,UT,1.0782153359474682,1.0746647137309413,0.9207632108883138,1.2051058256123792,1.0263544312075867,1.1241443765265149,146.0
2020-05-19,UT,1.0758521544596251,1.0746556351047143,0.9250391578714126,1.2151262454560248,1.0321883560624014,1.1313025660616862,0.0
2020-05-20,UT,1.0736408856415278,1.076694862641866,0.9584103717321056,1.23625346691548,1.0341751393169163,1.1277234586696359,326.0
2020-05-21,UT,1.0730073627318513,1.0756488756915452,0.9128414631970982,1.1945140408113877,1.0351820145257238,1.1255711281489618,164.0
2020-05-22,UT,1.0716461692020909,1.0744691941727524,0.8995265268030099,1.2046635214716517,1.0316848510271817,1.1295597515405258,183.0
2020-05-23,UT,1.0731998335918191,1.0736074454578262,0.9014760201835365,1.2103365037698814,1.0230513097835687,1.122029721164615,203.0
