date,region,index,mean,median,lower_80,upper_80,symptomatic_onsets,positive_test_adjusted,positive_test_adjusted_raw,positive,tests,new_tests,new_cases,new_deaths
2020-05-17,MD,82,0.8064586588110677,0.8072639987199816,0.7139841219124757,0.8711093172178332,493.21774821718896,724.8904107881532,744.2541979140339,836.0,4751.0,4751.0,836.0,50.0
2020-05-18,MD,83,0.8046776483510498,0.8064651727236072,0.7209085891854562,0.8784790960361807,473.94179259641817,704.2598097667343,615.7999671196994,958.0,6580.0,6580.0,958.0,32.0
2020-05-19,MD,84,0.8050002398596108,0.8038196220900935,0.7148111050417431,0.8745398427246541,455.16680862636076,683.564515771125,1055.0362702795017,1784.0,7152.0,7152.0,1784.0,42.0
2020-05-20,MD,85,0.8038009986911959,0.8059592603254806,0.7238215671721837,0.8820969345676163,436.9392090480906,662.8602188957306,492.56667628749847,777.0,6672.0,6672.0,777.0,34.0
2020-05-21,MD,86,0.8015406547630244,0.8005376903323731,0.7142701421783502,0.8740960065965172,419.387663423828,642.2050559988677,1042.0896606368833,1208.0,4903.0,4903.0,1208.0,23.0
2020-05-22,MD,87,0.8020788562691954,0.8041874903503621,0.7195620235836873,0.8817248766322726,402.51675012040437,621.6555577539415,492.50740772060476,893.0,7669.0,7669.0,893.0,53.0
2020-05-23,MD,88,0.7990794825306432,0.7975751387426284,0.7185703518562574,0.8881609044357605,386.2080003294578,601.2674696332607,1023.7083406547548,1071.0,4425.0,4425.0,1071.0,32.0
2020-05-24,MD,89,0.7994048642391193,0.7970448716317678,0.7130349547401026,0.8953743617328305,370.4904499169911,581.0993976296786,430.59349882673484,818.0,8035.0,8035.0,818.0,35.0
2020-05-25,MD,90,0.7977422711113658,0.7973846916291341,0.6962512306577482,0.8790640552997843,355.32136522631856,561.2086580138877,385.0939247052669,839.0,9215.0,9215.0,839.0,38.0
2020-05-26,MD,91,0.7953832467420653,0.7944231651885416,0.6969091023869329,0.8787504022038041,340.691536577453,541.6426833614845,460.86352343253265,535.0,4910.0,4910.0,535.0,38.0
2020-05-27,MD,92,0.7936653766568903,0.7931554293304803,0.6944441558408124,0.885607174507202,326.6081714583445,522.4416124945308,411.3360155004715,736.0,7568.0,7568.0,736.0,41.0
2020-05-28,MD,93,0.793551695682269,0.7901567570476768,0.6995510663521793,0.8945933617674449,312.9948312639084,503.6372184581916,424.8437846370853,1286.0,12803.0,12803.0,1286.0,43.0
2020-05-29,MD,94,0.7919591806897421,0.7907596318729584,0.6690820442196018,0.8759141178577147,299.8361362076745,485.25501751770065,560.0070107329052,1279.0,9660.0,9660.0,1279.0,37.0
2020-05-30,MD,95,0.7892013046629146,0.7885817311708287,0.6889069742597007,0.8956344862300176,287.188340876296,467.3158213499942,460.7346931104378,1027.0,9428.0,9428.0,1027.0,24.0
2020-05-31,MD,96,0.7875510867016686,0.7845952192820379,0.6726489717674113,0.895756039716322,275.060212165562,449.8318374250188,406.70325924797856,763.0,7935.0,7935.0,763.0,34.0
2020-06-01,MD,97,0.7891920068735615,0.7904198345393748,0.6705643567412838,0.9011890701752786,263.3803990821012,432.8088272791905,339.03553834300135,549.0,6849.0,6849.0,549.0,29.0
2020-06-02,MD,98,0.7891478860531315,0.7857946345681259,0.6654843709127855,0.9091215091232192,252.13348965666717,416.25376065584084,506.2395175395082,848.0,7085.0,7085.0,848.0,21.0
2020-06-03,MD,99,0.7895519022753449,0.7868720050852845,0.6686820073177402,0.9179548049019988,241.42851415425426,400.1737260346994,289.01719584121867,807.0,11810.0,11810.0,807.0,20.0
2020-06-04,MD,100,0.7886613982044969,0.7842311857279324,0.6637235737489693,0.9141565664659652,231.30400159964324,384.5708902228365,394.4571474377065,876.0,9393.0,9393.0,876.0,2.0
2020-06-05,MD,101,0.7864009251384775,0.7789743839839611,0.6525372630218376,0.9097979693687565,221.7129235496,369.4442184081213,360.2355106757472,912.0,10708.0,10708.0,912.0,34.0
2020-06-06,MD,102,0.7868684083563726,0.7824103050440838,0.6340845762576941,0.8996577338387692,212.59088677261659,354.7968945757289,312.0705067722163,712.0,9650.0,9650.0,712.0,38.0
2020-06-07,MD,103,0.7884102415400426,0.7826019308197295,0.6552553555877985,0.9298718808412716,203.86384929793041,340.6373180470595,279.6199245054063,491.0,7427.0,7427.0,491.0,9.0
2020-06-08,MD,104,0.7884205399503577,0.7815292149331299,0.6430407358615586,0.9293750040982142,195.5518787948964,326.97357729040544,272.0836928227535,431.0,6700.0,6700.0,431.0,27.0
2020-06-09,MD,105,0.7893483728805837,0.7833661017791487,0.6558267492440663,0.9576994542034872,187.72350780840242,313.809139570635,321.4475824456654,500.0,6579.0,6579.0,500.0,35.0
2020-06-10,MD,106,0.7912361359514464,0.7884632794392086,0.6481834027317848,0.9533389003596384,180.36309280140225,301.14020350715,361.70879414467316,561.0,6560.0,6560.0,561.0,33.0
2020-06-11,MD,107,0.7900872959919182,0.7853690770980487,0.6551967633143779,0.9661807313814093,173.4277208952895,288.96061145612686,400.6305041599752,732.0,7728.0,7728.0,732.0,31.0
2020-06-12,MD,108,0.7908906665585409,0.7766056691729937,0.6441547078534211,0.971353592914166,166.91782108972563,277.26807763535925,227.7691433741291,416.0,7725.0,7725.0,416.0,25.0
