zip,neighborhood_name,borough_group,covid_case_count,covid_case_rate,covid_percent_positive,pop_denominator,covid_death_count,covid_death_rate,total_covid_tests,num_peop_test,num_peop_pos,percent_positive,test_rate
11697,Breezy Point,Queens,128,3619.2,6.56,3536.69,5,141.38,1951,2065,316,15.3,58387.93
11731,,,,,,,,,,,,,
11798,,,,,,,,,,,,,
11968,,,,,,,,,,,,,
12423,,,,,,,,,,,,,
12428,,,,,,,,,,,,,
12435,,,,,,,,,,,,,
12458,,,,,,,,,,,,,
12466,,,,,,,,,,,,,
12473,,,,,,,,,,,,,
12528,,,,,,,,,,,,,
12701,,,,,,,,,,,,,
12733,,,,,,,,,,,,,
12734,,,,,,,,,,,,,
12737,,,,,,,,,,,,,
12750,,,,,,,,,,,,,
12751,,,,,,,,,,,,,
12754,,,,,,,,,,,,,
12758,,,,,,,,,,,,,
12759,,,,,,,,,,,,,
12763,,,,,,,,,,,,,
12764,,,,,,,,,,,,,
12768,,,,,,,,,,,,,
12779,,,,,,,,,,,,,
12783,,,,,,,,,,,,,
12786,,,,,,,,,,,,,
12788,,,,,,,,,,,,,
12789,,,,,,,,,,,,,
13731,,,,,,,,,,,,,
16091,,,,,,,,,,,,,
20459,,,,,,,,,,,,,
