date,region,index,mean,median,lower_80,upper_80,symptomatic_onsets,positive_test_adjusted,positive_test_adjusted_raw,positive,tests,new_tests,new_cases,new_deaths
2020-03-02,ME,0,1.3944685442569185,1.3903065815152251,1.1466977864535464,1.5792095357987126,39.219449101671145,0.0,0.0,0.0,0.0,,,
2020-03-03,ME,1,1.3874328420150837,1.3840846262665598,1.142802033975835,1.5625526353792665,0.3894208184611603,0.0,0.0,0.0,0.0,,,
2020-03-04,ME,2,1.3815572270818817,1.3776158374627443,1.1875787074177226,1.572724620504704,5.521009933682161,0.0,0.0,0.0,0.0,,,
2020-03-05,ME,3,1.3776762521446608,1.3757643047514303,1.1515240882016793,1.5235562563173046,10.475982275683144,2.6515317918735195,0.0,0.0,0.0,,,
2020-03-06,ME,4,1.3733606280913129,1.3628806667372582,1.161874507357658,1.5259064608070096,11.283193357104526,4.120707289274094,0.0,0.0,0.0,,,
2020-03-07,ME,5,1.3666205715313875,1.3603557747762642,1.19142422816255,1.5287443978745543,11.278794486205955,5.002069010997421,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,ME,6,1.356719245244022,1.3487351897273732,1.1826038204910247,1.5181228727400584,11.836321391160586,5.7577884544442846,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,ME,7,1.3489053476398971,1.3379468965419692,1.162969470043662,1.4841032431022,12.655245420567095,6.722201539788027,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,ME,8,1.3370100008761143,1.3300793688987682,1.1500297966786257,1.4696945844921188,13.466496934890328,7.457111734240633,0.0,0.0,0.0,19.0,0.0,0.0
2020-03-11,ME,9,1.3275503432720597,1.3162909516872645,1.1920953181964271,1.486167278728984,14.269914766084225,8.491842514883375,0.0,0.0,0.0,22.0,0.0,0.0
2020-03-12,ME,10,1.3151063570164176,1.310582130234022,1.168664038394427,1.4462284381699655,15.10301151452727,9.051649323757283,1.1288250739067898,1.0,39.0,24.0,1.0,0.0
2020-03-13,ME,11,1.2964601175720594,1.2920043138637405,1.132770924274417,1.4095805793614715,15.97094007128552,9.755668470923393,2.2576501478135795,2.0,25.0,28.0,2.0,0.0
2020-03-14,ME,12,1.281855249125669,1.2755047669240058,1.16133743697769,1.4306719693050791,16.864593942101965,10.668980820693497,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,ME,13,1.2633552997802562,1.2599468941125684,1.1563420202393484,1.3955229384683892,17.767304596610998,11.317993623911848,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,ME,14,1.2421465942338608,1.2368968931212594,1.1163925242402823,1.3573600960639025,18.671472064984354,12.107499258149335,15.803551034695056,14.0,670.0,687.0,14.0,0.0
