postal_code,FIPS,dem,gop,total
CA,06033,6874,3955,11038
CA,06035,2772,8798,11779
CA,06037,2947568,1107090,4139895
CA,06039,22438,28458,52029
CA,06041,112921,20505,135667
CA,06043,4088,5950,10280
CA,06045,18303,6312,25171
CA,06047,44260,35240,81356
CA,06049,1063,2675,3805
CA,06051,3998,2504,6713
CA,06053,107925,42784,154066
CA,06055,46962,19388,67847
CA,06057,30860,22059,54177
CA,06059,801749,664293,1496605
CA,06061,99585,110859,215442
CA,06063,4465,6247,10950
CA,06065,357566,294425,663167
CA,06067,338632,186311,536614
CA,06069,17315,10412,28317
CA,06071,367354,294786,675896
CA,06073,948902,589248,1574179
CA,06075,375630,55988,440418
CA,06077,112786,77038,193447
CA,06079,85183,64514,153409
CA,06081,264762,67750,338492
CA,06083,126419,63583,194378
CA,06085,587945,203648,808509
CA,06087,111534,26072,141079
CA,06089,28889,57894,88761
CA,06091,730,1142,1930
CA,06093,9456,12985,22991
CA,06095,129344,67793,201864
CA,06097,153342,40478,197603
CA,06099,97430,94152,195857
CA,06101,16961,23864,41694
CA,06103,8105,16346,25005
CA,06105,2383,2513,5095
CA,06107,64320,75471,142819
CA,06109,11808,17302,29820
CA,06111,248349,159791,417057
CA,06113,47504,16128,64934
CA,06115,10343,16210,27329
CO,08001,132951,94874,234599
CO,08003,3624,3676,7519
CO,08005,211498,126124,346740
CO,08007,3693,5126,9030
CO,08009,313,1840,2193
CO,08011,723,1468,2229
CO,08013,150247,39289,193656
CO,08014,28871,16188,46297
CO,08015,7112,6180,13620
CO,08017,127,966,1105
CO,08019,3495,2618,6290
CO,08021,1936,2269,4291
CO,08023,1279,713,2031
CO,08025,427,1262,1730
CO,08027,1104,2433,3585
CO,08029,5862,13013,19272
CO,08031,309879,70226,388817
CO,08033,332,1080,1431
CO,08035,104199,120661,230478
CO,08037,18095,9685,28427
CO,08039,4395,13722,18554
CO,08041,160265,200968,375058
CO,08043,7170,17231,25058
CO,08045,15070,14404,30216
CO,08047,2199,1815,4143
CO,08049,4676,4857,9804
CO,08051,6976,3599,10887
CO,08053,255,353,632
CO,08055,2071,2193,4389
CO,08057,173,680,873
CO,08059,218166,148227,376915
CO,08061,98,795,902
CO,08063,644,3084,3792
CO,08065,2287,1492,3938
CO,08067,20450,14194,35524
CO,08069,125765,91197,223653
CO,08071,3465,4255,7897
CO,08073,467,2118,2630
CO,08075,2201,7987,10411
CO,08077,30106,53344,85368
CO,08079,317,425,754
CO,08081,1186,5627,6964
CO,08083,5802,9267,15421
CO,08085,7648,16658,24764
CO,08087,3741,9407,13415
CO,08089,3552,5696,9459
CO,08091,2341,1547,3960
CO,08093,4786,6864,12032
CO,08095,477,1945,2461
CO,08097,8906,2739,11829
CO,08099,1438,3977,5507
CO,08101,43070,41502,86760
CO,08103,557,3047,3672
CO,08105,2488,3645,6280
CO,08107,10523,5883,16767
CO,08109,1857,1389,3337
CO,08111,342,202,563
CO,08113,3890,1081,5057
CO,08115,297,1120,1441
CO,08117,12535,5275,18330
CO,08119,5224,11158,16793
CO,08121,363,2537,2943
CO,08123,65169,94965,164791
CO,08125,763,4037,4885
DE,10001,44552,41009,87025
DE,10003,195034,88364,287633
DE,10005,56682,71230,129352
DC,11001,285728,16306,309190
FL,12001,89527,50891,142784
FL,12003,2037,11911,14082
FL,12005,25572,66063,93131
FL,12007,3160,10334,13650
FL,12009,148479,207857,360666
FL,12011,618597,333346,959418
FL,12013,1209,5274,6537
FL,12015,42240,73202,116481
FL,12017,27088,65348,93380
FL,12019,38294,84470,124622
FL,12021,77595,128936,207758
FL,12023,8912,23835,33039
FL,12027,4259,8313,12676
FL,12029,1364,6758,8171
FL,12031,252450,233687,492556
FL,12033,70893,96655,170311
FL,12035,28148,43039,71846
FL,12037,2118,4675,6857
FL,12039,16152,7465,23800
FL,12041,1700,7895,9702
FL,12043,1384,3781,5201
FL,12045,1985,6113,8172
FL,12047,1963,3815,5838
FL,12049,2298,6122,8485
FL,12051,4929,7904,12954
FL,12053,37446,70321,109176
FL,12055,16917,34846,52117
FL,12057,376196,327306,711722
FL,12059,924,8079,9077
FL,12061,37843,58870,97737
FL,12063,6766,15488,22419
FL,12065,3895,4478,8465
FL,12067,509,3128,3661
FL,12069,83491,125853,211702
FL,12071,157672,233242,393854
FL,12073,103492,57446,162895
FL,12075,6203,16746,23180
FL,12077,693,2846,3562
FL,12079,3747,5576,9380
FL,12081,90127,124966,216879
FL,12083,74848,127825,204621
FL,12085,36878,61152,98911
FL,12086,617647,532734,1158600
FL,12087,21864,25688,48112
FL,12089,15561,42563,58909
FL,12091,34227,79771,116677
FL,12093,4389,11470,15983
FL,12095,394857,245325,647059
FL,12097,97278,73467,172374
FL,12099,433392,334642,772839
FL,12101,118918,179545,301734
FL,12103,277397,276191,561125
FL,12105,145022,194571,343979
FL,12107,10524,25514,36408
FL,12109,63808,110886,176942
FL,12111,84115,86825,172130
FL,12113,27582,77349,106857
FL,12115,120050,148323,271063
FL,12117,132486,125217,260699
FL,12119,29331,62757,92609
FL,12121,4485,16410,21057
FL,12123,2299,7748,10122
FL,12125,1053,5133,6251
FL,12127,130451,173797,307891
FL,12129,5348,12873,18438
FL,12131,10336,32942,43786
FL,12133,2347,9876,12327
GA,13001,1779,6526,8341
GA,13003,825,2300,3155
GA,13005,625,4018,4668
GA,13007,652,897,1555
GA,13009,9140,8903,18251
GA,13011,932,7795,8801
GA,13013,10453,26804,38017
GA,13015,12091,37673,50465
GA,13017,2392,4110,6560
GA,13019,1269,6419,7743
GA,13021,43468,26585,70802
GA,13023,1311,4328,5706
GA,13025,699,6991,7746
GA,13027,2790,4260,7100
GA,13029,6739,14244,21340
GA,13031,11243,18386,30084
GA,13033,5209,5400,10684
GA,13035,3272,8405,11789
GA,13037,1260,923,2194
GA,13039,7967,15251,23688
GA,13043,1269,3134,4432
GA,13045,16238,37476,54474
GA,13047,6932,25167,32692
GA,13049,1103,3419,4566
GA,13051,78369,53288,133589
GA,13053,667,880,1590
GA,13055,1854,8064,10050
GA,13057,42794,99587,144830
GA,13059,35969,14412,51218
GA,13061,790,637,1434
GA,13063,95476,15813,112344
GA,13065,747,2105,2864
GA,13067,221844,165459,393744
GA,13069,4511,10578,15214
GA,13071,4187,11777,16083
GA,13073,29236,50013,80579
GA,13075,2059,4900,7035
GA,13077,24210,51501,76799
GA,13079,1615,4428,6102
GA,13081,2986,4987,8052
GA,13083,1261,6066,7434
GA,13085,2486,13398,16081
GA,13087,4780,6758,11627
GA,13089,308112,58361,370675
GA,13091,2171,5843,8070
GA,13093,1911,2159,4105
GA,13095,24579,10449,35308
GA,13097,42653,25323,68806
GA,13099,2437,2722,5187
GA,13101,167,1256,1441
GA,13103,7720,23357,31624
GA,13105,2879,6226,9171
GA,13107,2884,6551,9501
GA,13109,1324,2888,4247
GA,13111,2571,12169,14850
GA,13113,31933,36372,69238
GA,13115,10972,27120,38588
GA,13117,42203,85122,129305
GA,13119,1593,9069,10786
GA,13121,381057,137200,524532
GA,13123,2932,13429,16525
GA,13125,155,1403,1566
GA,13127,15879,25616,41984
GA,13129,4384,19405,24033
GA,13131,3619,7034,10707
GA,13133,4088,7068,11247
GA,13135,241827,166413,413865
GA,13137,3563,16637,20432
GA,13139,25002,64105,90424
GA,13141,2985,1159,4165
GA,13143,1792,12331,14272
GA,13145,5457,14319,19991
GA,13147,3157,9464,12727
GA,13149,824,4516,5397
GA,13151,73276,48187,122742
GA,13153,32232,41534,74823
GA,13155,1008,3134,4168
GA,13157,7642,29497,37670
GA,13159,1761,5822,7644
GA,13161,1028,4695,5771
GA,13163,4061,3537,7642
GA,13165,1266,2161,3455
GA,13167,1222,2850,4100
GA,13169,4888,9965,14966
GA,13171,2615,6330,9039
GA,13173,1019,2509,3576
GA,13175,8073,14493,22729
GA,13177,4558,12007,16714
GA,13179,13051,7944,21326
GA,13181,1435,3179,4650
GA,13183,2033,3528,5656
GA,13185,20117,25691,46355
GA,13187,3126,12163,15531
GA,13189,4168,6169,10455
GA,13191,2612,4016,6696
GA,13193,2857,1783,4662
GA,13195,3411,11326,14937
GA,13197,1311,2275,3624
GA,13199,4287,6524,10877
GA,13201,749,2066,2835
GA,13205,3995,4935,8963
GA,13207,4384,11060,15592
GA,13209,979,2960,3966
GA,13211,3355,8230,11707
GA,13213,2302,12943,15389
GA,13215,49529,30049,80543
GA,13217,29794,23869,54239
GA,13219,8162,16595,25168
GA,13221,2436,5593,8131
GA,13223,29658,54460,85273
GA,13225,5920,6502,12545
GA,13227,2808,14075,17116
GA,13229,1100,7899,9048
GA,13231,1505,9127,10720
GA,13233,3658,13589,17399
GA,13235,1217,2805,4059
GA,13237,3448,8291,11855
GA,13239,497,604,1106
GA,13241,1984,7474,9568
GA,13243,1671,1391,3074
GA,13245,59124,26781,87016
GA,13247,31244,13012,44686
GA,13249,462,1800,2275
GA,13251,2661,3916,6628
GA,13253,1254,2611,3884
GA,13255,11784,18057,30116
GA,13257,2385,9368,11885
GA,13259,1182,801,1990
GA,13261,6318,5732,12150
GA,13263,2114,1392,3522
GA,13265,561,360,928
GA,13267,2061,6053,8183
GA,13269,1387,2418,3839
GA,13271,1487,2825,4333
GA,13273,2376,2004,4416
GA,13275,8708,12954,21853
GA,13277,5322,10784,16283
GA,13279,2939,7872,10914
GA,13281,1550,6384,7979
GA,13283,952,2101,3077
GA,13285,11585,18146,30059
GA,13287,1410,2349,3792
GA,13289,2044,2370,4444
GA,13291,2801,12651,15592
GA,13293,4201,8608,12905
GA,13295,5769,23174,29436
GA,13297,12634,37617,50812
GA,13299,4249,9930,14296
GA,13301,1488,1177,2681
GA,13303,4730,4663,9459
GA,13305,2687,9987,12778
GA,13307,639,748,1390
GA,13309,689,1583,2285
GA,13311,2411,12222,14816
GA,13313,10670,25636,36746
GA,13315,862,2403,3281
GA,13317,2159,2823,5029
GA,13319,2075,2664,4770
GA,13321,2395,6831,9286
HI,15001,58683,26851,87716
HI,15003,238601,136061,381627
HI,15007,21217,11579,33486
HI,15009,47301,22111,71025
ID,16001,120539,130699,259389
ID,16003,591,1941,2586
ID,16005,14682,23331,39553
ID,16007,350,2814,3215
ID,16009,977,3878,4972
ID,16011,4124,15295,20094
ID,16013,8919,4031,13288
ID,16015,1214,3495,4840
ID,16017,8310,18369,27352
